date,fold,portfolio_value,daily_pnl,daily_return,benchmark_return,excess_return,number_of_longs,number_of_stop_hits,average_long_score
2022-01-03,2022-01-01 to 2022-06-30,100855.80694427558,855.8069442755805,0.008558069442755802,-0.004298651976127887,0.01285672141888369,37,6,1.4840016451738494
2022-01-04,2022-01-01 to 2022-06-30,99505.34021752718,-1350.4667267484037,-0.013390074083632722,-0.019427445720513137,0.0060373716368804144,37,12,1.4892472078584358
2022-01-05,2022-01-01 to 2022-06-30,99563.4825583139,58.14234078672598,0.0005843137731062636,0.0001282352689735422,0.0004560785041327214,37,2,1.4845576251379429
2022-01-06,2022-01-01 to 2022-06-30,98207.86347003924,-1355.6190882746596,-0.013615625462686026,-0.011219147344801783,-0.002396478117884243,37,5,1.4858893219125335
2022-01-07,2022-01-01 to 2022-06-30,98305.65018068954,97.7867106502963,0.0009957116181448758,0.005446293494705046,-0.00445058187656017,37,6,1.4556364932181594
2022-01-10,2022-01-01 to 2022-06-30,98990.93227004312,685.2820893535827,0.006970932882230058,0.013692446584411488,-0.00672151370218143,37,3,1.458862178806302
2022-01-11,2022-01-01 to 2022-06-30,99299.00540758004,308.0731375369214,0.003112134924606206,0.0013147013295446985,0.0017974335950615076,37,0,1.4411936915960688
2022-01-12,2022-01-01 to 2022-06-30,97685.54336019089,-1613.4620473891555,-0.01624852173258523,-0.02333707460663681,0.007088552874051579,37,6,1.440917237202204
2022-01-13,2022-01-01 to 2022-06-30,96837.19447722088,-848.3488829700073,-0.008684487527923512,-0.003165723454541469,-0.005518764073382042,37,2,1.4242320836142086
2022-01-14,2022-01-01 to 2022-06-30,96533.66680161208,-303.52767560879875,-0.0031344121155864172,-0.0033932960650816524,0.00025888394949523516,37,3,1.4080234131330076
2022-01-18,2022-01-01 to 2022-06-30,95258.73546328471,-1274.9313383273693,-0.013207116030798818,-0.009647074230089259,-0.0035600418007095593,37,9,1.4132856721584
2022-01-19,2022-01-01 to 2022-06-30,93604.14911179167,-1654.5863514930388,-0.017369392354896082,-0.018049586776859528,0.0006801944219634454,37,9,1.4332566557897244
2022-01-20,2022-01-01 to 2022-06-30,91370.02306579749,-2234.126045994184,-0.02386780999767387,-0.030366280635604648,0.006498470637930777,37,12,1.41768836759493
2022-01-21,2022-01-01 to 2022-06-30,91591.63394478604,221.61087898854748,0.002425422163119663,0.002384093697197054,4.1328465922609286e-05,37,10,1.3982744247935648
2022-01-24,2022-01-01 to 2022-06-30,92490.32316011433,898.689215328297,0.009811913781012566,0.01768808017364809,-0.007876166392635525,37,4,1.4278858150425597
2022-01-25,2022-01-01 to 2022-06-30,91459.83024040368,-1030.492919710654,-0.011141629572714617,-0.0055817752768198,-0.005559854295894817,37,16,1.4199642281696012
2022-01-26,2022-01-01 to 2022-06-30,90395.6123439969,-1064.2178964067862,-0.011635905004519153,-0.01268653310820067,0.0010506281036815179,37,12,1.4346958123263722
2022-01-27,2022-01-01 to 2022-06-30,91199.23878462109,803.6264406241971,0.00889010450602442,0.019736538017101957,-0.010846433511077537,37,6,1.4559767398312038
2022-01-28,2022-01-01 to 2022-06-30,92729.40078197325,1530.1619973521592,0.016778232118426165,0.021484906173510954,-0.004706674055084788,37,3,1.4478353616395163
