series,metric,value
strategy,cumulative_return,0.7812738504835111
strategy,annualized_return,0.1436363399156415
strategy,annualized_volatility,0.15954136762372237
strategy,sharpe_ratio,0.9209955403726259
strategy,max_drawdown,-0.16362451718525906
strategy,hit_rate,0.5378228782287823
strategy,average_daily_return,0.0005830828892317378
strategy,daily_return_std,0.010050161489511935
strategy,skewness,0.2596013556957583
strategy,kurtosis,1.7257998979363758
strategy,best_day,0.050792129818543454
strategy,worst_day,-0.030661892193585484
SPY,cumulative_return,0.5050498727098236
SPY,annualized_return,0.09970365495103617
SPY,annualized_volatility,0.18061300312786133
SPY,sharpe_ratio,0.616523343162761
SPY,max_drawdown,-0.2681071338754296
SPY,hit_rate,0.5313653136531366
SPY,average_daily_return,0.00044187354169466375
SPY,daily_return_std,0.011377549757639336
SPY,skewness,0.029953539452290987
SPY,kurtosis,6.050842154647164
SPY,best_day,0.07863164721141369
SPY,worst_day,-0.0659500124109752
excess,cumulative_return,0.1424568652782765
excess,annualized_return,0.03144519136156654
excess,annualized_volatility,0.09621489586048643
excess,sharpe_ratio,0.36984663612733415
excess,max_drawdown,-0.19708683421432238
excess,hit_rate,0.5202952029520295
excess,average_daily_return,0.00014120934753707407
excess,daily_return_std,0.006060968734924405
excess,skewness,0.11918023740784321
excess,kurtosis,2.590017414937677
excess,best_day,0.03528812021738972
excess,worst_day,-0.027839517392870237
strategy,expected_return_per_trade,0.0006168165159638869
strategy,average_trade_lifetime,1.0
strategy,success_rate,0.5193726729098499
strategy,timeout_rate,0.39711158749858966
strategy,stop_loss_rate,0.08351573959156042
